Samples,Caffeine,CuSO4,DTT,EtOH10,EtOH9,EtOH8,Malt_Ext,Fructose,G418,Galactose,Glicerol,Glucose,H2O2,KCl,Lactose,Methanol,Maltodextrine,Maltose,NaCl,p-coumeric acid,Rafinose,Sacarose,SDS,Sorbitol
CL1002.1,0.130373,0.130373,0.194805,0.053575,0.048362,0.054183,0.210846,0.228142,0.103335,0.156383,0.01441,0.187227,0.148043,0.160885,0.052298,0.046852,0.062128,0.164488,0.148043,0.206048,0.240538,0.270058,0.119286,0.196266
CL1003.1,0.088682,0.088682,0.169479,0.051945,0.043193,0.049379,0.206913,0.21496,0.098479,0.130864,0.073639,0.164393,0.136004,0.130609,0.055635,0.053101,0.069611,0.169759,0.136004,0.196613,0.202037,0.249904,0.103258,0.18267
CL1004.1,0.081626,0.081626,0.157546,0.070861,0.043916,0.053247,0.21904,0.206884,0.086783,0.116778,0.025138,0.163201,0.13278,0.11422,0.065531,0.041084,0.053586,0.102485,0.13278,0.207122,0.209656,0.25385,0.091646,0.191579
CL1005.1,0.106633,0.106633,0.179651,0.063849,0.050176,0.056024,0.232877,0.220984,0.080183,0.178726,0.020239,0.181854,0.136192,0.148357,0.058167,0.053799,0.061106,0.172061,0.136192,0.208842,0.185714,0.23974,0.114857,0.25104
CL1006.1,0.082412,0.082412,0.153786,0.099404,0.058916,0.058552,0.180026,0.200573,0.079193,0.155263,0.061037,0.166551,0.110612,0.114908,0.10163,0.060144,0.064485,0.172614,0.110612,0.187988,0.297117,0.248036,0.083926,0.199125
CL1007.1,0.102123,0.102123,0.115005,0.135494,0.052523,0.052291,0.213822,0.245233,0.117168,0.197007,0.021593,0.197523,0.121115,0.110645,0.101812,0.036162,0.064447,0.092654,0.121115,0.121759,0.215964,0.291703,0.076484,0.245837
CL1008.1,0.10689,0.10689,0.150199,0.054119,0.051464,0.051259,0.211669,0.228269,0.10091,0.182788,0.068838,0.17602,0.13527,0.116116,0.065983,0.039296,0.054928,0.164069,0.13527,0.153835,0.248191,0.254212,0.092627,0.22661
CL1009.1,0.101502,0.101502,0.173756,0.019316,0.041463,0.050418,0.210863,0.236034,0.1021,0.190202,0.059374,0.163545,0.127168,0.109937,0.106372,0.042666,0.06664,0.143228,0.127168,0.144676,0.21021,0.250424,0.091729,0.197418
CL1010.1,0.07791,0.07791,0.156888,0.041807,0.038766,0.055663,0.221987,0.204198,0.110425,0.120056,0.04744,0.180848,0.120126,0.10761,0.077439,0.033645,0.08039,0.133189,0.120126,0.14231,0.174336,0.21735,0.084583,0.204998
CL915.1,0.111522,0.111522,0.214168,0.101041,0.066128,0.069578,0.216923,0.235759,0.134455,0.191862,0.061927,0.186531,0.15814,0.293805,0.083178,0.067543,0.067435,0.175231,0.15814,0.201314,0.257058,0.233765,0.151348,0.24683
